"Test","Trial","Subject","Sex","Strain","DOB","DOT","Week_of_Enrichment","Novel_Object_Side","Novel_object_","Treatment_","Testing_Tank_","Distance_moved","Velocity","In_zone","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","Movement","...28","...29","...30","Novel_Object_Zone","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","Zone_transition","...44","...45","...46","Turn_angle","Angular_velocity"
"NT","Trial_17",10,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","1826.75","5.4798200000000001","4","9.4","189.52","2.61111","67","105.04","0.04","29.177800000000001","72","245.08","1.32","68.077799999999996","271.92","75.533299999999997","84","23.333300000000001","85","105","0.04","58","39.6","28.92","47","107.88","0.08","25","38.6","29.2","38.76","301.76","200.16","200.16","-2.48258","-62.064399999999999"
"FO","Trial_18",10,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2907.47","8.4993700000000008","87","284.76","0.6","79.099999999999994","89","74.319999999999993","0","20.644400000000001","3","0.64","133.91999999999999","0.17777799999999999","341.56","94.877799999999993","17.760000000000002","4.9333299999999998","75","23","4.4000000000000004","24","8.68","0.12","46","24.72","4.4000000000000004","18","9.36","0.12","-","-","109.48","223.76","1.12351","28.087800000000001"
"NO_RI_1","Trial_19",10,"F","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","2","3041.96","8.9186300000000003","85","290","0.04","80.555599999999998","90","67.64","3.44","18.788900000000002","6","2.2799999999999998","281.52","0.63333300000000003","342.4","95.111099999999993","16.88","4.6888899999999998","5","0.84","188.96","117","32.6","48.04","2","1.04","189","80","35.68","48","-","-","74.12","340.6","-1.53193","-38.298299999999998"
"NO_RI_6","Trial_20",10,"F","AB",2020-11-04,2021-07-20,1,"1","2","Enriched","2","2566.08","7.6902499999999998","130","228.56","3.8","63.488900000000001","134","130.24","0.28000000000000003","36.177799999999998","5","1.2","0","0.33333299999999999","337.68","93.8","21.4","5.9444400000000002","3","0.88","308.72000000000003","277","58.4","0","3","0.96","308.76","178","65","0","0.28000000000000003","0.28000000000000003","29.68","200.88","-1.16703","-29.175699999999999"
"NT","Trial_21",12,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2591.41","7.5384399999999996","30","20.28","69","5.6333299999999999","91","146.32","32.24","40.644399999999997","62","193.4","0","53.722200000000001","339.36","94.2667","20.399999999999999","5.6666699999999999","65","73.400000000000006","1.64","206","124.4","0","44","73.16","1.72","117","126.76","0","60.2","296.60000000000002","297.64","297.64","1.86599E-2","0.46649800000000002"
"FO","Trial_22",12,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2214.14","6.4007199999999997","29","35.159999999999997","1.48","9.7666699999999995","88","126.8","0","35.222200000000001","58","196.48","0.6","54.577800000000003","325.64","90.455600000000004","31.68","8.8000000000000007","20","4.3600000000000003","1.28","65","47.32","95.84","9","4.04","1.32","44","47.36","96","85.76","342.36","80.36","162.68","-1.1518900000000001","-28.7972"
"NO_RI_1","Trial_23",12,"M","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","2","1756.2","5.1774899999999997","27","25.32","4.96","7.0333300000000003","85","131.91999999999999","6.16","36.644399999999997","54","200.4","0","55.666699999999999","309.88","86.077799999999996","45.76","12.7111","87","72.040000000000006","6.16","6","5.48","0","59","71.48","6.16","2","4.72","0","6.16","339.84","46.2","150.96","0.76369200000000004","19.092300000000002"
"NO_RI_6","Trial_24",12,"M","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","2","1570.73","4.5879500000000002","1","0.28000000000000003","5.08","7.7777799999999994E-2","44","22.56","0","6.2666700000000004","48","335.48","0.12","93.188900000000004","295.92","82.2","60.24","16.7333","95","54.2","16.239999999999998","10","9.56","0","36","50","22.04","5","8.84","0","5.88","117.04","-","-","1.0115400000000001","25.288499999999999"
"NT","Trial_25",14,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2327.7399999999998","6.7361399999999998","30","20.28","145.44","5.63584","90","121.12","0.6","33.659399999999998","62","218.36","0","60.682499999999997","335.6","93.2637","23.6","6.5584699999999998","111","99.16","0.6","66","77.599999999999994","5.72","72","98.28","0.6","39","77.760000000000005","5.84","0.6","329.44","-","-","-1.01963","-25.4907"
"FO","Trial_26",14,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","1819.21","5.2590399999999997","34","324.88","0","90.244399999999999","25","31.52","8.68","8.7555599999999991","0","0","-","0","313.12","86.977800000000002","44.28","12.3","4","1.1200000000000001","9.52","4","1.44","195.44","2","0.92","9.64","2","0.96","214.56","-","-","159.72","226.32","2.3688799999999999E-2","0.592221"
"NO_RI_1","Trial_27",14,"M","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","2","3296.58","9.2924100000000003","96","221","0.32","61.3889","98","138.96","0","38.6","1","0.04","332.52","1.11111E-2","349.12","96.977800000000002","10.52","2.9222199999999998","34","8.68","122.64","27","14.36","206.8","20","7.24","130","21","14.68","206.56","-","-","0.32","112.16","1.0127900000000001","25.319700000000001"
"NO_RI_6","Trial_28",14,"M","AB",2020-11-04,2021-07-20,1,"1","2","Enriched","2","3011.49","8.5012799999999995","77","141.80000000000001","2.72","39.3889","106","209","0.04","58.055599999999998","28","9.0399999999999991","1.2","2.51111","345.92","96.088899999999995","13.56","3.76667","24","3.2","6.4","60","28.28","1.2","16","2.4","143.84","40","27.88","1.2","2.2799999999999998","2.2799999999999998","6.12","193.08","1.2575400000000001","31.438400000000001"
"NT","Trial_29",16,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","3281.03","9.5268099999999993","56","50.2","82.2","13.9444","94","252.92","0","70.255600000000001","38","56.84","1.44","15.7889","345.08","95.855599999999995","14.04","3.9","67","50.08","0.4","190","113.92","6.76","54","49.16","0.24","129","118.68","6.76","2.52","94.6","133.72","234.8","-0.23913100000000001","-5.9782799999999998"
"FO","Trial_30",16,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","3759.19","10.523999999999999","52","306.76","0","85.211100000000002","53","52.76","0.28000000000000003","14.6556","2","0.48","0.36","0.13333300000000001","348.72","96.866699999999994","11.24","3.12222","38","20.56","212.28","0","0","-","36","18.72","212.44","0","0","-","-","-","-","-","2.3060100000000001","57.650300000000001"
"NO_RI_1","Trial_31",16,"F","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","2","3944.66","11.223000000000001","76","249.8","4.96","69.388900000000007","77","105.08","4.92","29.1889","2","4.16","0","1.1555599999999999","342.6","95.166700000000006","15.4","4.2777799999999999","68","37.119999999999997","0","16","5.72","285.72000000000003","59","32.72","0","13","5.56","285.83999999999997","4.92","4.92","4.96","4.96","2.41052","60.263100000000001"
"NO_RI_6","Trial_32",16,"F","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","2","1732.86","5.0479399999999996","11","14.88","13.08","4.1333299999999999","71","236.56","0.04","65.711100000000002","61","107.96","0","29.988900000000001","308.60000000000002","85.722200000000001","49.68","13.8","13","2.08","13.72","17","20.72","0","4","0.72","13.72","11","20.92","0","0.04","316.27999999999997","13.08","329.8","0.363064","9.0766100000000005"
"NT","Trial_33",18,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2140.73","6.2028600000000003","46","84.24","100.76","23.4","73","200.32","33.799999999999997","55.644399999999997","27","75.400000000000006","0","20.944400000000002","326.60000000000002","90.722200000000001","33.159999999999997","9.2111099999999997","51","45.16","0","136","96.88","1.92","37","46.88","0","71","100.28","2.04","-","-","-","-","-4.47394E-3","-0.111849"
"FO","Trial_34",18,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","819.09199999999998","2.3214299999999999","2","1.28","15.56","0.35555599999999998","5","3.68","17.760000000000002","1.0222199999999999","12","352.44","0","97.9","135.08000000000001","37.522199999999998","221.8","61.6111","58","307.92","0.08","2","0.44","17.52","13","310.92","0.08","2","0.48","17.52","25.48","25.48","-","-","-14.612500000000001","-365.31099999999998"
"NO_RI_1","Trial_35",18,"F","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","2","176.00200000000001","1.01057","12","1.68","10","0.466667","1","0.04","0.12","1.11111E-2","12","177","0","49.166699999999999","12.2","3.38889","163.88","45.522199999999998","5","170.08","5.04","3","6.28","0","5","170.08","5.04","3","6.28","0","0.12","0.12","-","-","0.34879399999999999","8.7198499999999992"
"NO_RI_6","Trial_36",18,"F","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","2","386.80700000000002","1.6332","0","0","-","0","0","0","-","0","14","247.36","0","68.711100000000002","63.88","17.744399999999999","181.44","50.4","0","0","-","10","124.2","0.96","0","0","-","7","127.48","0.76","-","-","-","-","-6.2589399999999999","-156.47399999999999"
"NT","Trial_37",20,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","1847.66","5.3468600000000004","6","6.16","80.8","1.7111099999999999","38","64.48","4.68","17.911100000000001","34","288.64","0.12","80.177800000000005","315.08","87.522199999999998","44.36","12.3222","24","25.64","0.8","208","206.52","10.36","13","26.12","0.8","101","212.4","10.44","4.68","264.08","-","-","-0.80053399999999997","-20.013300000000001"
"FO","Trial_38",20,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2017.85","5.8522400000000001","33","65.959999999999994","51.48","18.3263","83","146.6","19.84","40.731299999999997","54","142.63999999999999","2.48","39.631","321.08","89.208699999999993","34.92","9.7021599999999992","73","38.64","18.28","44","40.72","111.96","46","38.6","18.36","22","41.56","112.12","19.84","348.56","60.24","251","-0.68545100000000003","-17.136299999999999"
"NO_RI_1","Trial_39",20,"M","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","2","1708.59","5.0252699999999999","17","38.159999999999997","0.8","10.6","78","116.76","0","32.433300000000003","72","200.44","4.92","55.677799999999998","301.76","83.822199999999995","51.6","14.333299999999999","43","29.84","44.64","106","142.36000000000001","3.32","23","30.04","44.68","67","139.08000000000001","7","23.68","346.76","0.8","254.64","-0.36391299999999999","-9.0978300000000001"
"NO_RI_6","Trial_40",20,"M","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","2","1521.34","4.7583500000000001","2","1.24","1.52","0.34444399999999997","34","26.88","0","7.4666699999999997","62","320.2","9.32","88.944400000000002","260.24","72.288899999999998","83.28","23.133299999999998","0","0","-","210","238.88","3.48","0","0","-","128","245.68","3.88","223.04","228.76","1.52","1.52","0.49665399999999998","12.4163"
"NT","Trial_41",22,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2711.26","7.8907499999999997","24","16","130.4","4.4444400000000002","87","156.08000000000001","6.32","43.355600000000003","64","187.8","0","52.166699999999999","340.36","94.544399999999996","19.2","5.3333300000000001","113","111.24","5.36","86","78.44","0.28000000000000003","70","112.96","5.48","55","78.680000000000007","0.8","158.08000000000001","249.72","-","-","0.30805900000000003","7.7014800000000001"
"FO","Trial_42",22,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2422.75","7.0543699999999996","54","51.56","0","14.3222","106","251.36","1.68","69.822199999999995","49","56.2","49.16","15.6111","324.16000000000003","90.044399999999996","34.159999999999997","9.4888899999999996","66","47.68","3.16","202","70.680000000000007","12.04","47","47.76","3.24","128","76.56","12.16","138.91999999999999","344.24","26","255.2","0.67879900000000004","16.97"
"NO_RI_1","Trial_43",22,"M","AB",2020-11-04,2021-07-20,1,"1","2","Enriched","2","2691.27","7.7513500000000004","7","3.48","1.24","0.96666700000000005","103","225.72","0","62.7","97","129.56","3.04","35.988900000000001","328.44","91.2333","29.64","8.2333300000000005","77","68","162.44","184","92.16","0","37","67.239999999999995","162.52000000000001","119","95.4","0.08","52.28","329.68","-","-","-1.6158699999999999","-40.396799999999999"
"NO_RI_6","Trial_44",22,"M","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","2","2121.4899999999998","6.3139700000000003","12","5.4","19.48","1.5","100","244.48","0","67.911100000000005","92","107.92","0.52","29.977799999999998","312","86.666700000000006","43.76","12.1556","20","4.5599999999999996","80.84","422","199.48","0","12","3.64","80.959999999999994","224","218.72","0","1.56","347.68","-","-","-1.0739099999999999","-26.847799999999999"
"NT","Trial_45",24,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2011.54","5.7789700000000002","17","28.04","187.2","7.7888900000000003","59","135.96","0","37.7667","41","195.96","1.04","54.433300000000003","324.12","90.033299999999997","35.76","9.9333299999999998","81","66.319999999999993","0","82","69.56","2.64","43","68.319999999999993","0","43","67.92","2.76","312.88","330","-","-","0.41068500000000002","10.267099999999999"
"FO","Trial_46",24,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","893.75800000000004","2.6367699999999998","11","341.84","0","94.955600000000004","8","18.079999999999998","256.04000000000002","5.0222199999999999","0","0","-","0","192.24","53.4","166.28","46.188899999999997","0","0","-","0","0","-","0","0","-","0","0","-","-","-","277.27999999999997","318.16000000000003","0.42371999999999999","10.593"
"NO_RI_1","Trial_47",24,"M","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","2","1205.25","3.4805700000000002","30","101.68","4.32","28.244399999999999","46","196.56","0","54.6","18","61.36","3.6","17.0444","277.16000000000003","76.988900000000001","81.52","22.644400000000001","0","0","-","2","3.88","0","0","0","-","2","3.88","0","219.04","307.2","45.56","329.44","-0.13848299999999999","-3.4620799999999998"
"NO_RI_6","Trial_48",24,"M","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","2","1430.91","4.1499600000000001","38","96.36","0.12","26.7667","62","236.88","2.3199999999999998","65.8","25","26.52","176.6","7.3666700000000001","290.92","80.811099999999996","68","18.8889","3","0.44","208.56","10","4.72","286.27999999999997","1","0.08","208.72","8","4.3600000000000003","286.44","262.32","331.24","4.4000000000000004","112.28","-1.2886500000000001","-32.2164"
"NT","Trial_49",26,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2140.29","6.3299700000000003","4","6.12","178.8","1.7","22","36.08","0.8","10.0222","19","317.8","0","88.277799999999999","318.32","88.422200000000004","41.44","11.511100000000001","78","70.44","0.16","168","154.47999999999999","3.68","34","71.400000000000006","0.32","74","159.68","3.8","-","-","-","-","-0.61566600000000005","-15.3916"
"FO","Trial_50",26,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","933.82799999999997","2.7250700000000001","1","0.64","221.52","0.17777799999999999","7","3.24","0","0.9","16","353.72","0.08","98.255600000000001","174.32","48.422199999999997","182.24","50.622199999999999","58","37.92","224.88","146","163.16","0","24","39.04","224.88","8","220.36","0","0.44","313.32","221.52","221.52","-10.9612","-274.02999999999997"
"NO_RI_1","Trial_51",26,"M","AB",2020-11-04,2021-07-20,1,"1","2","Enriched","2","772.79399999999998","2.4938500000000001","11","1.84","18.64","0.51111099999999998","0","0","-","0","12","327.76","0","91.044399999999996","136.80000000000001","38","189.2","52.555599999999998","8","11.68","0","16","74.2","7.8","7","11.64","0","11","74.680000000000007","7.8","-","-","-","-","-2.0617700000000001","-51.5443"
"NO_RI_6","Trial_52",26,"M","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","2","464.37099999999998","2.4075600000000001","0","0","-","0","1","0.72","4.08","0.2","24","206.28","0","57.3","68.16","18.933299999999999","134.91999999999999","37.477800000000002","39","190.44","5.52","14","3.76","0","29","190.68","5.56","5","4.4800000000000004","0","4.08","4.08","-","-","-6.0608199999999997","-151.52000000000001"
"NT","Trial_53",28,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","2308.9299999999998","6.8222699999999996","3","5.24","294.16000000000003","1.45556","54","52.04","0.2","14.4556","51","302.72000000000003","0","84.088899999999995","332.36","92.322199999999995","27.44","7.6222200000000004","74","85.68","10.56","152","121.52","1.2","45","87.08","0.2","74","123.72","1.24","0.2","357.72","299.44","299.44","-0.384079","-9.6019799999999993"
"FO","Trial_54",28,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","2","1390.35","4.1522800000000002","33","76.72","5","21.3111","49","255.92","5.84","71.088899999999995","17","26.08","0","7.24444","291","80.833299999999994","67.319999999999993","18.7","12","5.6","143.91999999999999","3","4.6399999999999997","0","10","4.4800000000000004","144.12","3","4.5999999999999996","0","303.08","341.88","6.4","330.56","-6.4535300000000004E-2","-1.61338"
"NO_RI_1","Trial_55",28,"F","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","2","1620.65","4.8061999999999996","18","26.4","158.56","7.3333300000000001","42","67.760000000000005","118.88","18.822199999999999","31","263.12","0.08","73.088899999999995","296","82.222200000000001","59.92","16.644400000000001","50","42.16","79.680000000000007","13","10.16","0.08","32","41.68","80.08","10","9.8800000000000008","0.08","177.24","310.88","246.8","311.16000000000003","-2.40095E-2","-0.60023800000000005"
"NO_RI_6","Trial_56",28,"F","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","2","1607.89","4.9711999999999996","2","1.52","288.68","0.42222199999999999","22","28.96","42.36","8.0444399999999998","55","320.12","0","88.922200000000004","282.32","78.422200000000004","64.12","17.8111","110","95.32","0","78","97.6","18.239999999999998","65","97.84","0","36","97.84","18.399999999999999","121.92","225.6","-","-","0.13511899999999999","3.3779699999999999"
