"Test","Trial","Subject","Sex","Strain","DOB","Testing_Date","Week_of_Enrichment","Novel_Object...9","Novel_Object...10","Treatment","Testing_Tank","Distance_moved","Velocity","In_zone","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","Movement","...28","...29","...30","Novel_Object_Zone","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","Zone_transition","...44","...45","...46","Turn_angle","Angular_velocity"
"FO","Trial_22",12,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2205.35","6.3459700000000003","33","68.52","0","19.033300000000001","97","138.80000000000001","0.64","38.555599999999998","64","151.76","5.76","42.1556","331.04","91.955600000000004","27.56","7.6555600000000004","21","8.64","60.04","81","46.44","48.68","14","8.76","134.19999999999999","59","46.04","48.88","13.84","359.72","247.76","247.76","-0.28953000000000001","-7.2382400000000002"
"NO_RI_1","Trial_23",12,"M","AB",2020-11-04,2021-07-27,2,"1","2","enriched","2","1995.79","5.8247600000000004","53","37.64","57.52","10.4556","102","140.76","0","39.1","41","179.6","1.48","49.8889","316","87.777799999999999","40.6","11.277799999999999","24","16.760000000000002","36.479999999999997","143","79.36","0","17","16.52","36.56","90","77.64","0","35.56","240.92","248","342.8","0.85359799999999997","21.34"
"NO_RI_6","Trial_24",12,"M","AB",2020-11-04,2021-07-27,2,"1","3","enriched","2","1506.04","4.4446899999999996","1","0.16","320.48","4.4444400000000002E-2","42","56.44","0","15.6778","44","301.76","5.56","83.822199999999995","283.12","78.644400000000005","73.88","20.522200000000002","0","0","-","119","120.44","2.84","0","0","-","68","126.4","2.92","359.2","359.2","-","-","-0.386185","-9.6546299999999992"
"NT","Trial_25",14,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2967.96","8.6117699999999999","57","132.84","44.04","36.9","97","111.12","0.04","30.866700000000002","42","116","0","32.222200000000001","348.44","96.788899999999998","11.28","3.1333299999999999","49","42.84","6","92","73.12","0","35","43","6.08","57","73.319999999999993","0","0.04","222.96","229.52","285.2","0.22886600000000001","5.7216500000000003"
"FO","Trial_26",14,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2102.42","6.0456000000000003","45","210.4","0","58.444400000000002","57","123.96","78.8","34.433300000000003","14","24.44","240.56","6.7888900000000003","329.64","91.566699999999997","28.24","7.8444399999999996","23","14.64","125.48","44","24.28","138.80000000000001","11","13.72","183.92","31","24.08","138.91999999999999","302.2","328.64","-","-","0.84762999999999999","21.190799999999999"
"NO_RI_1","Trial_27",14,"M","AB",2020-11-04,2021-07-27,2,"2","2","enriched","2","1892.82","5.5579700000000001","40","85.48","0","23.749700000000001","78","108.24","0.2","30.0733","40","164.04","22.6","45.576799999999999","316.92","88.052899999999994","39.119999999999997","10.8691","75","60.72","152.56","60","50.68","2.4","36","59.68","152.88","40","50.96","2.4","58","325.88","216.92","236.12","-0.89410599999999996","-22.352599999999999"
"NO_RI_6","Trial_28",14,"M","AB",2020-11-04,2021-07-27,2,"1","3","enriched","2","1907.55","5.5613799999999998","42","91.88","1.8","25.522200000000002","80","136.36000000000001","0","37.877800000000001","39","130","15.76","36.1111","316.44","87.9","40.28","11.1889","46","42.96","27.6","55","59.32","12.04","33","42.76","164.28","39","60.44","12.2","126.92","305.68","151.4","279.60000000000002","-0.316635","-7.9158900000000001"
"NT","Trial_29",16,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2918.03","8.4306800000000006","29","28.84","56.28","8.0111100000000004","99","175.96","2.6","48.877800000000001","71","155.19999999999999","0","43.1111","343.88","95.522199999999998","15.84","4.4000000000000004","146","122.76","0","61","69","2.16","109","121.44","0","36","69.400000000000006","2.2799999999999998","125.8","286.08","248.84","248.84","0.29549799999999998","7.3874599999999999"
"FO","Trial_30",16,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2077.5","6.0161699999999998","69","150.84","0.64","41.904699999999998","82","199.32","0.48","55.372799999999998","11","8.32","0.76","2.3113700000000001","310.83999999999997","86.353999999999999","46.36","12.879200000000001","22","12.96","0.76","11","3.44","58.28","16","12.32","0.76","7","2.68","159.6","1.04","87.2","0.64","286.32","0.44862999999999997","11.2158"
"NO_RI_1","Trial_31",16,"F","AB",2020-11-04,2021-07-27,2,"1","3","enriched","2","4049.26","11.4282","128","170.36","1.28","47.322200000000002","134","188.56","0.08","52.377800000000001","5","1","183.28","0.27777800000000002","348.32","96.755600000000001","11.28","3.1333299999999999","107","64.599999999999994","39.36","18","6.44","0.08","98","60.4","39.479999999999997","13","4.6399999999999997","0.08","-","-","1.28","298.92","2.4178799999999998","60.447000000000003"
"NO_RI_6","Trial_32",16,"F","AB",2020-11-04,2021-07-27,2,"2","2","enriched","2","3423.85","10.232699999999999","26","14.84","65.72","4.1222200000000004","123","293.83999999999997","0","81.622200000000007","92","50.56","0.24","14.0444","340.48","94.577799999999996","16.28","4.5222199999999999","173","119.68","0","50","34.56","5.64","146","118.24","0","33","36.520000000000003","5.68","1.96","318.36","-","-","3.1800899999999999","79.502200000000002"
"NT","Trial_33",18,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","3089.98","9.0774799999999995","6","3.48","165.12","0.96666700000000005","85","195.96","50.2","54.433300000000003","80","160.56","0","44.6","333.36","92.6","26.32","7.3111100000000002","153","98.72","2.16","114","126.28","3.44","97","98.56","2.2400000000000002","56","128.4","4.16","110.2","291.88","-","-","4.6961200000000002E-2","1.1740299999999999"
"FO","Trial_34",18,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2981.66","8.5503","72","62.88","0","17.466699999999999","101","280.72000000000003","0.16","77.977800000000002","30","16.28","54.8","4.5222199999999999","341","94.722200000000001","18.72","5.2","38","9.48","214.72","155","68.400000000000006","0.24","16","7.92","214.84","78","69.040000000000006","0.28000000000000003","-","-","88.52","88.52","-0.21660399999999999","-5.4150900000000002"
"NO_RI_1","Trial_35",18,"M","AB",2020-11-04,2021-07-27,2,"2","2","enriched","2","3870.84","11.1913","126","183.08","1.2","50.855600000000003","146","167.04","0","46.4","15","8.8800000000000008","24.68","2.4666700000000001","351.24","97.566699999999997","7","1.9444399999999999","108","47.76","6.12","50","18.36","0","91","47.8","6.24","27","18.36","0","216.6","216.6","1.2","312.92","2.5028899999999998","62.572200000000002"
"NO_RI_6","Trial_36",18,"M","AB",2020-11-04,2021-07-27,2,"2","3","enriched","2","2255.85","6.5868200000000003","57","44.52","13.16","12.3667","169","192.88","7.2","53.577800000000003","118","120.28","0","33.411099999999998","322.36","89.544399999999996","33.76","9.3777799999999996","10","2.68","15.68","310","238.28","0","9","2.8","15.76","106","252.6","0","7.2","359.72","13.16","123","-0.44057200000000002","-11.0143"
"NT","Trial_37",20,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","3240.18","9.4136600000000001","54","47.04","0.52","13.069599999999999","92","195.04","1.4","54.189799999999998","41","117.48","0.08","32.640599999999999","344.28","95.654600000000002","15.44","4.2898399999999999","108","60.12","4.28","94","74.680000000000007","0.44","73","58.6","4.3600000000000003","60","72.64","0.44","1.4","321.16000000000003","235.28","235.28","1.1952100000000001","29.880299999999998"
"FO","Trial_38",20,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","1516.75","4.3564600000000002","36","102.6","34.68","28.627199999999998","79","219.92","0","61.361600000000003","39","35.68","1.04","9.9553600000000007","292.24","81.540199999999999","65.2","18.192","9","3.16","0","16","6.24","252.04","6","2.68","0","10","6","271.04000000000002","226.92","336.76","51.4","178.56","-0.346389","-8.6597299999999997"
"NO_RI_1","Trial_39",20,"M","AB",2020-11-04,2021-07-27,2,"2","2","enriched","2","2596.06","7.6842899999999998","72","218.12","3.56","60.595599999999997","93","132.4","0.04","36.7819","26","9","0","2.5002800000000001","335.56","93.221500000000006","22.8","6.3340399999999999","33","5.84","3","17","8.8800000000000008","0","22","5.56","3","14","7.72","0","0.04","355.2","71.28","327.24","-0.71729299999999996","-17.932300000000001"
"NO_RI_6","Trial_40",20,"M","AB",2020-11-04,2021-07-27,2,"1","3","enriched","2","2120.3000000000002","6.0078699999999996","44","75.08","5.64","20.855599999999999","80","254.16","0","70.599999999999994","34","30.68","122.8","8.5222200000000008","319.72000000000003","88.811099999999996","40.200000000000003","11.166700000000001","15","5.04","313.2","34","12.08","1.92","10","4.4800000000000004","320.48","24","10.4","1.96","165.48","354.08","32.72","32.72","0.37917600000000001","9.4794"
"NT","Trial_41",22,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","3640.92","10.4612","33","33.64","62.76","9.3444400000000005","74","209.28","5.56","58.133299999999998","42","117.08","0","32.522199999999998","341.8","94.944400000000002","18.16","5.0444399999999998","102","48.8","2.68","148","120.48","0","72","46.28","2.8","88","124.56","0","109.36","338.04","-","-","-1.5518000000000001","-38.794899999999998"
"FO","Trial_42",22,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","4029.7","11.2965","71","231.04","6.32","64.177800000000005","78","119.16","17.64","33.1","8","9.8000000000000007","0","2.7222200000000001","344.68","95.744399999999999","14.92","4.1444400000000003","5","0.56000000000000005","302.04000000000002","66","38.04","0","3","0.4","302.16000000000003","46","36.479999999999997","0","343.04","343.04","-","-","-3.02834","-75.708500000000001"
"NO_RI_1","Trial_43",22,"M","AB",2020-11-04,2021-07-27,2,"1","2","enriched","2","3920.2","11.376099999999999","46","65.400000000000006","0.08","18.166699999999999","140","198.96","0","55.2667","94","94.6","61.48","26.277799999999999","349.96","97.211100000000002","8.36","2.3222200000000002","56","20.56","11.28","157","92.72","6.08","46","19.68","11.36","100","93.92","6.16","131.72","312.64","0.08","0.08","0.30376900000000001","7.5942299999999996"
"NO_RI_6","Trial_44",22,"M","AB",2020-11-04,2021-07-27,2,"2","3","enriched","2","2850.26","8.5174000000000003","64","115.88","4.24","32.188899999999997","148","171.76","0.08","47.711100000000002","83","71.040000000000006","0","19.7333","329.32","91.477800000000002","27.64","7.6777800000000003","6","1.1599999999999999","30.4","210","139.52000000000001","0","5","0.96","30.48","116","141.96","0","0.08","347.96","53.2","308.44","0.19422300000000001","4.8555700000000002"
"NT","Trial_45",24,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","1608.45","4.8059200000000004","2","3.12","131.88","0.86666699999999997","36","80.8","26.36","22.444400000000002","35","276.04000000000002","0","76.677800000000005","299","83.055599999999998","60.44","16.788900000000002","52","51.48","12.76","87","133.88","21.2","24","51.16","13","47","135.96","21.48","-","-","-","-","-0.83399599999999996","-20.849900000000002"
"FO","Trial_46",24,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","1325.8","3.9599600000000001","5","3.32","6.88","0.92222199999999999","51","109.04","6.68","30.288900000000002","42","245.2","0","68.111099999999993","254.76","70.7667","101.16","28.1","73","82.84","3.56","27","29.16","0","45","81.400000000000006","3.56","21","28.16","0","7.08","329","-","-","-0.16417699999999999","-4.1044099999999997"
"NO_RI_1","Trial_47",24,"M","AB",2020-11-04,2021-07-27,2,"1","2","enriched","2","1070.75","3.2251599999999998","1","0.72","94.48","0.2","29","46.6","5.68","12.9444","30","311.39999999999998","0","86.5","212.64","59.066699999999997","145.24","40.3444","20","13.44","1.2","18","14.88","0","11","13","1.2","7","12.4","0","5.68","234.12","-","-","-0.24571299999999999","-6.14283"
"NO_RI_6","Trial_48",24,"M","AB",2020-11-04,2021-07-27,2,"2","3","enriched","2","1088.01","3.16872","0","0","-","0","17","15.32","0","4.25556","22","343.76","3.28","95.488900000000001","227.6","63.222200000000001","131.12","36.422199999999997","100","34.56","4.88","1","0.12","84.44","33","27.32","9.48","0","0","-","-","-","-","-","-0.406472","-10.161799999999999"
"NT","Trial_49",26,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","1717.79","5.1579199999999998","6","11.92","61.6","3.3111100000000002","29","49.28","6.44","13.6889","24","298.8","0","83","288.48","80.133300000000006","71.400000000000006","19.833300000000001","71","116.84","0","69","106.84","4.96","37","115.96","0.04","39","106.6","5.2","77","86.32","-","-","0.56022799999999995","14.005699999999999"
"FO","Trial_50",26,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","952.279","4.1131599999999997","24","9.16","21.44","2.5444399999999998","7","11","8.64","3.0555599999999998","82","249.08","0","69.188900000000004","151.28","42.022199999999998","100.88","28.022200000000002","38","121.56","7.92","54","61.76","0","30","120.76","7.92","41","62.04","0","8.64","219.12","-","-","-6.6772600000000004","-166.93100000000001"
"NO_RI_1","Trial_51",26,"F","AB",2020-11-04,2021-07-27,2,"1","3","enriched","2","260.72500000000002","7.5441399999999996","21","4.08","6.96","1.1333299999999999","10","1.28","0.84","0.35555599999999998","51","52.32","0","14.533300000000001","24.16","6.7111099999999997","23.44","6.5111100000000004","0","0","-","42","52.4","0","0","0","-","39","52.52","0","0.84","40.28","40.479999999999997","40.479999999999997","-2.0644100000000001","-51.610399999999998"
"NO_RI_6","Trial_52",26,"F","AB",2020-11-04,2021-07-27,2,"1","2","enriched","2","328.59800000000001","0.92448300000000005","2","0.68","1.68","0.189499","0","0","-","0","2","356.2","2.6","99.264300000000006","19.399999999999999","5.4063100000000004","336.84","93.869100000000003","0","0","-","140","345.88","3","0","0","-","2","355.8","3","-","-","-","-","0.52718799999999999","13.1797"
"NT","Trial_53",28,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2409.52","7.2427400000000004","23","65.44","22","18.177800000000001","56","92.84","0","25.788900000000002","33","201.68","9.6","56.022199999999998","335.76","93.2667","23.24","6.4555600000000002","109","88.36","0.28000000000000003","58","62.84","4.3600000000000003","73","89.36","0.44","40","62.64","4.4800000000000004","352.8","352.8","-","-","-0.77312099999999995","-19.327999999999999"
"FO","Trial_54",28,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2177.9699999999998","6.61273","44","74.760000000000005","37.36","20.7667","90","179.64","0","49.9","52","102.64","66.48","28.511099999999999","321.68","89.355599999999995","33.28","9.2444400000000009","78","41.72","99.28","62","46.88","0","63","40.32","99.44","45","46.08","0","72.239999999999995","356.6","222.04","222.04","-1.5250900000000001","-38.127200000000002"
"NO_RI_1","Trial_55",28,"M","AB",2020-11-04,2021-07-27,2,"2","3","enriched","2","1504.64","4.6313700000000004","15","32.64","11.2","9.0666700000000002","63","108.28","0.12","30.0778","57","215.68","1.68","59.911099999999998","284.2","78.944400000000002","68.92","19.144400000000001","92","72.28","0.12","60","72.959999999999994","1.56","63","73.56","0.12","45","73.959999999999994","1.68","2.2000000000000002","359.16","128.04","128.04","0.395401","9.8850200000000008"
"NO_RI_6","Trial_56",28,"M","AB",2020-11-04,2021-07-27,2,"2","2","enriched","2","1916.11","5.7122299999999999","30","83.32","3.76","23.144400000000001","70","152.12","4.24","42.255600000000001","43","123.2","0","34.222200000000001","311.2","86.444400000000002","46.48","12.911099999999999","79","44.12","4.24","48","47.84","0","44","43.96","4.24","33","47.72","0","4.24","322.27999999999997","236.48","236.48","-0.23837900000000001","-5.9594699999999996"
"NT","Trial_57",30,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","2640.82","8.0024700000000006","2","1.08","182.64","0.3","28","19.36","103.4","5.3777799999999996","27","339.56","0","94.322199999999995","321.83999999999997","89.4","37.880000000000003","10.5222","69","57.4","1.1200000000000001","152","179.72","0.16","43","58.96","1.1599999999999999","70","183.68","0.32","187.48","272.12","-","-","-0.83072900000000005","-20.7682"
"FO","Trial_58",30,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","2","1481.41","5.4981200000000001","9","3.2","0","0.88888900000000004","17","12.36","0.08","3.4333300000000002","27","284.8","3.4","79.111099999999993","234.12","65.033299999999997","61.24","17.011099999999999","5","1.04","257.12","23","3.52","2.2400000000000002","3","1.24","257.12","10","1.72","2.2400000000000002","258.16000000000003","355.24","4","4","0.83840599999999998","20.960100000000001"
"NO_RI_1","Trial_59",30,"M","AB",2020-11-04,2021-07-27,2,"2","3","enriched","2","3150.1","9.6415799999999994","3","1.1200000000000001","195.6","0.31111100000000003","48","27.08","31.68","7.5222199999999999","49","331.68","0","92.133300000000006","329.28","91.466700000000003","30.04","8.3444400000000005","198","97.4","0.24","69","23.2","37.44","109","96.32","4.04","37","19.48","37.479999999999997","120.2","258.04000000000002","-","-","0.22201100000000001","5.5502700000000003"
"NO_RI_6","Trial_60",30,"M","AB",2020-11-04,2021-07-27,2,"2","2","enriched","2","3067.83","9.2683800000000005","0","0","-","0","69","43.28","5.2","12.0222","73","316.60000000000002","0","87.944400000000002","298.56","82.933300000000003","60.76","16.877800000000001","236","176.32","0","56","20.239999999999998","7.12","152","176.48","0","30","18.16","7.2","92.08","355.6","-","-","0.46915099999999998","11.7288"
